Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.11      9.33     0.01     1876     0.00     0.00  MathOps::add(std::shared_ptr<Node> const&, std::shared_ptr<Node> const&)::{lambda(Matrix const&)#1}::operator()(Matrix const&) const
  0.11      9.34     0.01      734     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.11      9.35     0.01        3     0.00     2.72  Trainer::runEpoch(bool)
  0.05      9.36     0.01    17210     0.00     0.00  void std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_realloc_append<std::shared_ptr<Node> const&>(std::shared_ptr<Node> const&)
  0.05      9.36     0.01    12216     0.00     0.00  std::_UninitDestroyGuard<double*, void>::release()
  0.00      9.36     0.00   452916     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  0.00      9.36     0.00   407080     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      9.36     0.00   407080     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      9.36     0.00   407080     0.00     0.00  std::log(long double)
  0.00      9.36     0.00   220756     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      9.36     0.00   203540     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      9.36     0.00   203540     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.36     0.00   203540     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      9.36     0.00   203540     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.36     0.00   203540     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      9.36     0.00   203540     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.36     0.00   131512     0.00     0.00  std::__new_allocator<double>::~__new_allocator()
  0.00      9.36     0.00   114252     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      9.36     0.00   107992     0.00     0.00  std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      9.36     0.00   104228     0.00     0.00  std::shared_ptr<Node>::~shared_ptr()
  0.00      9.36     0.00   100208     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      9.36     0.00    98510     0.00     0.00  std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      9.36     0.00    80014     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::size() const
  0.00      9.36     0.00    80000     0.00     0.00  std::uniform_int_distribution<unsigned long>::param_type::a() const
  0.00      9.36     0.00    80000     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long)
  0.00      9.36     0.00    79997     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<unsigned long> >, std::is_move_constructible<unsigned long>, std::is_move_assignable<unsigned long> >::value, void>::type std::swap<unsigned long>(unsigned long&, unsigned long&)
  0.00      9.36     0.00    79997     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >)
  0.00      9.36     0.00    77874     0.00     0.00  std::__shared_ptr_access<Node, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      9.36     0.00    75128     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      9.36     0.00    73323     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      9.36     0.00    68848     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::size() const
  0.00      9.36     0.00    64166     0.00     0.00  std::shared_ptr<Node>::shared_ptr(std::shared_ptr<Node> const&)
  0.00      9.36     0.00    64166     0.00     0.00  std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2> const&)
  0.00      9.36     0.00    64166     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      9.36     0.00    64166     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  0.00      9.36     0.00    50104     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      9.36     0.00    50104     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      9.36     0.00    50104     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      9.36     0.00    50100     0.00     0.00  Matrix::~Matrix()
  0.00      9.36     0.00    50100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      9.36     0.00    50100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      9.36     0.00    50100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00      9.36     0.00    50100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      9.36     0.00    50100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      9.36     0.00    50100     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      9.36     0.00    50100     0.00     0.00  std::__new_allocator<double>::deallocate(double*, unsigned long)
  0.00      9.36     0.00    50100     0.00     0.00  std::__new_allocator<double>::allocate(unsigned long, void const*)
  0.00      9.36     0.00    50100     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      9.36     0.00    46969     0.00     0.00  std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_get_Tp_allocator()
  0.00      9.36     0.00    42884     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      9.36     0.00    41272     0.00     0.00  std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::__small_size_threshold()
  0.00      9.36     0.00    41272     0.00     0.00  std::__detail::_Hashtable_hash_traits<std::hash<Node const*> >::__small_size_threshold()
  0.00      9.36     0.00    40686     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_S_max_size(std::allocator<std::shared_ptr<Node> > const&)
  0.00      9.36     0.00    40666     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::begin()
  0.00      9.36     0.00    40000     0.00     0.00  std::uniform_int_distribution<unsigned long>::param_type::b() const
  0.00      9.36     0.00    40000     0.00     0.00  std::uniform_int_distribution<unsigned long>::param_type::param_type(unsigned long, unsigned long)
  0.00      9.36     0.00    40000     0.00     0.00  unsigned int std::uniform_int_distribution<unsigned long>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, unsigned int>(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, unsigned int)
  0.00      9.36     0.00    40000     0.00     0.00  std::uniform_int_distribution<unsigned long>::uniform_int_distribution(unsigned long, unsigned long)
  0.00      9.36     0.00    40000     0.00     0.00  unsigned long std::uniform_int_distribution<unsigned long>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.36     0.00    40000     0.00     0.00  unsigned long std::uniform_int_distribution<unsigned long>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_int_distribution<unsigned long>::param_type const&)
  0.00      9.36     0.00    39997     0.00     0.00  std::pair<unsigned long, unsigned long>::pair<unsigned long, unsigned long, true>(unsigned long&&, unsigned long&&)
  0.00      9.36     0.00    39997     0.00     0.00  std::pair<unsigned long, unsigned long> std::__gen_two_uniform_ints<unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&>(unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      9.36     0.00    39997     0.00     0.00  std::pair<std::__strip_reference_wrapper<std::decay<unsigned long>::type>::__type, std::__strip_reference_wrapper<std::decay<unsigned long>::type>::__type> std::make_pair<unsigned long, unsigned long>(unsigned long&&, unsigned long&&)
  0.00      9.36     0.00    39124     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      9.36     0.00    34424     0.00     0.00  std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_get_Tp_allocator() const
  0.00      9.36     0.00    34424     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::max_size() const
  0.00      9.36     0.00    34116     0.00     0.00  void std::_Destroy<std::shared_ptr<Node> >(std::shared_ptr<Node>*)
  0.00      9.36     0.00    33776     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      9.36     0.00    32860     0.00     0.00  std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<Node, (__gnu_cxx::_Lock_policy)2>&&)
  0.00      9.36     0.00    32830     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      9.36     0.00    32830     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<Node const*, false> > >::_M_node_allocator()
  0.00      9.36     0.00    31892     0.00     0.00  std::hash<Node const*>::operator()(Node const*) const
  0.00      9.36     0.00    31892     0.00     0.00  std::__detail::_Hash_code_base<Node const*, Node const*, std::__detail::_Identity, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(Node const* const&) const
  0.00      9.36     0.00    31312     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      9.36     0.00    31312     0.00     0.00  std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&)
  0.00      9.36     0.00    30346     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::end()
  0.00      9.36     0.00    29751     0.00     0.00  std::__new_allocator<std::shared_ptr<Node> >::~__new_allocator()
  0.00      9.36     0.00    29096     0.00     0.00  std::shared_ptr<Node>::shared_ptr(std::shared_ptr<Node>&&)
  0.00      9.36     0.00    25989     0.00     0.00  std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_deallocate(std::shared_ptr<Node>*, unsigned long)
  0.00      9.36     0.00    25986     0.00     0.00  std::_Function_base::_Function_base()
  0.00      9.36     0.00    25986     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      9.36     0.00    25048     0.00     0.00  std::function<void (Matrix const&)>::~function()
  0.00      9.36     0.00    24718     0.00     0.00  Node::value() const
  0.00      9.36     0.00    23474     0.00     0.00  std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_allocate(unsigned long)
  0.00      9.36     0.00    23474     0.00     0.00  std::__new_allocator<std::shared_ptr<Node> >::deallocate(std::shared_ptr<Node>*, unsigned long)
  0.00      9.36     0.00    23474     0.00     0.00  std::__new_allocator<std::shared_ptr<Node> >::allocate(unsigned long, void const*)
  0.00      9.36     0.00    22838     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::push_back(std::shared_ptr<Node> const&)
  0.00      9.36     0.00    22512     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<std::shared_ptr<Node>*, std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > > > >::base() const
  0.00      9.36     0.00    21574     0.00     0.00  std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long) const
  0.00      9.36     0.00    21574     0.00     0.00  std::__detail::_Hash_node<Node const*, false>::_M_next() const
  0.00      9.36     0.00    21574     0.00     0.00  std::__detail::_Hash_code_base<Node const*, Node const*, std::__detail::_Identity, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(unsigned long, unsigned long) const
  0.00      9.36     0.00    20636     0.00     0.00  __gnu_cxx::__aligned_buffer<Node const*>::_M_ptr()
  0.00      9.36     0.00    20636     0.00     0.00  __gnu_cxx::__aligned_buffer<Node const*>::_M_addr()
  0.00      9.36     0.00    20636     0.00     0.00  std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::size() const
  0.00      9.36     0.00    20636     0.00     0.00  std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_locate(Node const* const&) const
  0.00      9.36     0.00    20636     0.00     0.00  std::__detail::_Node_iterator_base<Node const*, false>::_Node_iterator_base(std::__detail::_Hash_node<Node const*, false>*)
  0.00      9.36     0.00    20048     0.00     0.00  std::_Sp_ebo_helper<0, std::allocator<void>, true>::_S_get(std::_Sp_ebo_helper<0, std::allocator<void>, true>&)
  0.00      9.36     0.00    19096     0.00     0.00  Matrix::Matrix(unsigned long, unsigned long)
  0.00      9.36     0.00    19096     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      9.36     0.00    19096     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.00      9.36     0.00    19096     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      9.36     0.00    19096     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00      9.36     0.00    19094     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      9.36     0.00    19092     0.00     0.00  void std::_Construct<double>(double*)
  0.00      9.36     0.00    19078     0.00     0.00  void std::__relocate_object_a<std::shared_ptr<Node>, std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&)
  0.00      9.36     0.00    18792     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00      9.36     0.00    18792     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00      9.36     0.00    18792     0.00     0.00  double* std::uninitialized_copy<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*)
  0.00      9.36     0.00    18792     0.00     0.00  double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, double>(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, double*, std::allocator<double>&)
  0.00      9.36     0.00    18788     0.00     0.00  Matrix::Matrix(Matrix const&)
  0.00      9.36     0.00    18788     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      9.36     0.00    18788     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  0.00      9.36     0.00    18780     0.00     0.00  __gnu_cxx::__aligned_buffer<OperationNode>::_M_ptr()
  0.00      9.36     0.00    18780     0.00     0.00  __gnu_cxx::__aligned_buffer<OperationNode>::_M_addr()
  0.00      9.36     0.00    18780     0.00     0.00  std::_Sp_counted_ptr_inplace<OperationNode, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      9.36     0.00    18768     0.00     0.00  double* std::vector<double, std::allocator<double> >::_M_data_ptr<double>(double*) const
  0.00      9.36     0.00    18760     0.00     0.00  std::_Hashtable<Node const*, Node const*, std::allocator<Node const*>, std::__detail::_Identity, std::equal_to<Node const*>, std::hash<Node const*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_before_node(unsigned long, Node const* const&, unsigned long) const
  0.00      9.36     0.00    17830     0.00     0.00  std::function<void (Matrix const&)>::operator bool() const
  0.00      9.36     0.00    17229     0.00     0.00  void std::_Destroy<std::shared_ptr<Node>*>(std::shared_ptr<Node>*, std::shared_ptr<Node>*)
  0.00      9.36     0.00    17227     0.00     0.00  std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_Vector_impl::~_Vector_impl()
  0.00      9.36     0.00    17227     0.00     0.00  std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::~_Vector_base()
  0.00      9.36     0.00    17227     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::~vector()
  0.00      9.36     0.00    17225     0.00     0.00  std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_Vector_impl_data::_Vector_impl_data()
  0.00      9.36     0.00    17212     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_M_check_len(unsigned long, char const*) const
  0.00      9.36     0.00    17210     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_S_relocate(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&)
  0.00      9.36     0.00    17210     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_Guard_alloc::_Guard_alloc(std::shared_ptr<Node>*, unsigned long, std::_Vector_base<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >&)
  0.00      9.36     0.00    17210     0.00     0.00  std::vector<std::shared_ptr<Node>, std::allocator<std::shared_ptr<Node> > >::_Guard_alloc::~_Guard_alloc()
  0.00      9.36     0.00    17210     0.00     0.00  std::shared_ptr<Node>* std::__relocate_a<std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&)
  0.00      9.36     0.00    17210     0.00     0.00  std::shared_ptr<Node>* std::__relocate_a_1<std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> > >(std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::shared_ptr<Node>*, std::allocator<std::shared_ptr<Node> >&)
  0.00      9.36     0.00    16900     0.00     0.00  std::_Any_data::_M_access()
  0.00      9.36     0.00    15946     0.00     0.00  std::_Any_data::_M_access() const
  0.00      9.36     0.00    15008     0.00     0.00  __gnu_cxx::__aligned_buffer<Node const*>::_M_ptr() const
  0.00      9.36     0.00    15008     0.00     0.00  __gnu_cxx::__aligned_buffer<Node const*>::_M_addr() const
  0.00      9.36     0.00    15008     0.00     0.00  Node const* const& std::__detail::_Identity::operator()<Node const* const&>(Node const* const&) const
  0.00      9.36     0.00    12524     0.00     0.00  std::initializer_list<std::shared_ptr<Node> >::size() const
  0.00      9.36     0.00    12524     0.00     0.00  std::initializer_list<std::shared_ptr<Node> >::begin() const
  0.00      9.36     0.00    12520     0.00     0.00  Node::addParent(std::shared_ptr<Node> const&)
  0.00      9.36     0.00    12520     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<OperationNode, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::__allocated_ptr(std::allocator<std::_Sp_counted_ptr_inplace<OperationNode, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<OperationNode, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>*)
  0.00      9.36     0.00    12520     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<OperationNode, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::~__allocated_ptr()
